deutsch_translated,deutsch
the trip,die Reise
the vacation trip,die Urlaubsreise
the business trip,die Geschäftsreise
the round trip,die Rundreise
the excursion,der Ausflug
the long-distance journey,die Fernreise
the short trip,der Kurztrip
the travel destination,das Reiseziel
the destination,die Destination
the whereabouts,der Aufenthaltsort
the accommodation,die Unterkunft
the hotel,das Hotel
the guesthouse,die Pension
the hostel,die Jugendherberge
the hostel,das Hostel
the holiday apartment,die Ferienwohnung
the holiday home,das Ferienhaus
the overnight stay,die Übernachtung
the check-in,der Check-in
the check out,der Check-out
the reception,die Rezeption
the single room,das Einzelzimmer
the double room,das Doppelzimmer
the suite,die Suite
the full board,die Vollpension
the half board,die Halbpension
the breakfast buffet,das Frühstücksbuffet
the flight,der Flug
the direct flight,der Direktflug
the connecting flight,der Anschlussflug
the stopover,die Zwischenlandung
The plane,das Flugzeug
the airport,der Flughafen
the terminal,das Terminal
the gate,das Gate
the boarding pass,die Bordkarte
the hand luggage,das Handgepäck
the checked baggage,das Aufgabegepäck
the baggage check-in,die Gepäckaufgabe
the baggage claim,die Gepäckausgabe
the suitcase,der Koffer
the backpack,der Rucksack
the travel bag,die Reisetasche
the security check,die Sicherheitskontrolle
the customs,der Zoll
passport control,die Passkontrolle
the passport,der Reisepass
the visa,das Visum
the entry,die Einreise
the departure,die Ausreise
the border crossing,der Grenzübergang
the train,die Bahn
the train,der Zug
the station,der Bahnhof
the track,das Gleis
the platform,der Bahnsteig
the ticket,die Fahrkarte
the reservation,die Reservierung
the seat,der Sitzplatz
the first class,die erste Klasse
the second class,die zweite Klasse
the compartment,das Abteil
the conductor,der Schaffner
the delay,die Verspätung
the transition,der Umstieg
the connection,die Verbindung
the timetable,der Fahrplan
the sight,die Sehenswürdigkeit
the visit,die Besichtigung
the city tour,die Stadtführung
the city tour,die Stadtrundfahrt
